 Daytime,Elapsed,Hydro,Hydro %,Set Up,Set Up %,
 Advection,Advection %,HTurb,HTurb %,VTurb,VTurb %,Behavior,
 Behavior %,Update,Update %
        1.9583,       10.3694,        0.0000,        0.0000,        0.1286,        1.2399,        8.7081,       83.9787,        0.0161,        0.1548,        0.0160,        0.1542,        0.0139,        0.1345,        1.4548,       14.0295
        2.0000,       10.6494,        0.0000,        0.0000,        0.1040,        0.9769,        8.9355,       83.9067,        0.0191,        0.1791,        0.0140,        0.1315,        0.0180,        0.1691,        1.5197,       14.2702
        2.0417,       10.6224,        0.4239,        3.9908,        0.1210,        1.1394,        8.4398,       79.4529,        0.0189,        0.1781,        0.0160,        0.1508,        0.0150,        0.1411,        1.5426,       14.5222
        2.0833,       10.3244,        0.0000,        0.0000,        0.1121,        1.0857,        8.6137,       83.4303,        0.0199,        0.1927,        0.0180,        0.1744,        0.0170,        0.1643,        1.5117,       14.6424
        2.1250,       10.5024,        0.0000,        0.0000,        0.1109,        1.0562,        8.7629,       83.4374,        0.0200,        0.1906,        0.0219,        0.2089,        0.0240,        0.2281,        1.5236,       14.5071
        2.1667,       10.5704,        0.4389,        4.1522,        0.1039,        0.9831,        8.4066,       79.5303,        0.0271,        0.2561,        0.0249,        0.2359,        0.0160,        0.1510,        1.5039,       14.2273
        2.2083,       10.2345,        0.0000,        0.0000,        0.1167,        1.1400,        8.4654,       82.7146,        0.0190,        0.1861,        0.0139,        0.1363,        0.0211,        0.2060,        1.5553,       15.1964
        2.2500,       10.3744,        0.0000,        0.0000,        0.1208,        1.1643,        8.6168,       83.0580,        0.0341,        0.3289,        0.0241,        0.2324,        0.0198,        0.1906,        1.5107,       14.5616
        2.2917,       10.6254,        0.4369,        4.1118,        0.1180,        1.1104,        8.4313,       79.3504,        0.0258,        0.2430,        0.0112,        0.1051,        0.0148,        0.1390,        1.5336,       14.4331
        2.3333,       10.3664,        0.0000,        0.0000,        0.1041,        1.0045,        8.5594,       82.5686,        0.0251,        0.2420,        0.0167,        0.1613,        0.0219,        0.2108,        1.5974,       15.4089
        2.3750,       10.4894,        0.0000,        0.0000,        0.1072,        1.0218,        8.7576,       83.4900,        0.0151,        0.1437,        0.0217,        0.2071,        0.0201,        0.1920,        1.5276,       14.5637
        2.4167,       10.9753,        0.4429,        4.0357,        0.1064,        0.9693,        8.7988,       80.1685,        0.0240,        0.2191,        0.0110,        0.1001,        0.0260,        0.2369,        1.5233,       13.8794
        2.4583,       10.4704,        0.0000,        0.0000,        0.1158,        1.1064,        8.7626,       83.6896,        0.0251,        0.2402,        0.0248,        0.2373,        0.0139,        0.1329,        1.4780,       14.1157
        2.5000,       10.4194,        0.0000,        0.0000,        0.1039,        0.9976,        8.7067,       83.5618,        0.0161,        0.1541,        0.0140,        0.1341,        0.0229,        0.2197,        1.5097,       14.4893
        2.5417,       11.1073,        0.4259,        3.8344,        0.1069,        0.9627,        8.9625,       80.6898,        0.0329,        0.2962,        0.0161,        0.1445,        0.0211,        0.1896,        1.5038,       13.5387
        2.5833,       10.5944,        0.0000,        0.0000,        0.1030,        0.9725,        8.8290,       83.3372,        0.0309,        0.2915,        0.0189,        0.1780,        0.0212,        0.2005,        1.5523,       14.6522
        2.6250,       10.5454,        0.0000,        0.0000,        0.0897,        0.8502,        8.8392,       83.8207,        0.0312,        0.2963,        0.0151,        0.1430,        0.0211,        0.2003,        1.5103,       14.3214
        2.6667,       11.4503,        0.4559,        3.9819,        0.1180,        1.0304,        9.2419,       80.7133,        0.0281,        0.2457,        0.0169,        0.1477,        0.0120,        0.1045,        1.5313,       13.3736
        2.7083,       10.9263,        0.0000,        0.0000,        0.1210,        1.1077,        9.1890,       84.0993,        0.0149,        0.1363,        0.0248,        0.2274,        0.0099,        0.0911,        1.5218,       13.9277
